name,code,gender
ABBAS,TR,M
ABDI,TR,M
ABDUL,TR,M
ABDULBAKI,TR,M
ABDULCABBAR,TR,M
ABDULHAKIM,TR,M
ABDULHALIM,TR,M
ABDULHAMID,TR,M
ABDULKADIR,TR,M
ABDULKERIM,TR,M
ABDULLAH,TR,M
ABDULLATIF,TR,M
ABDULSAMET,TR,M
ABDURRAHIM,TR,M
ABDURRAHMAN,TR,M
ABIDIN,TR,M
ABUBEKIR,TR,M
ABUZER,TR,M
ADALET,TR,F
ADEM,TR,M
ADIL,TR,M
ADILE,TR,F
ADNAN,TR,M
AFSAR,TR,M
AGAH,TR,M
AHMET,TR,M
AHSEN,TR,F
AHU,TR,F
AJDA,TR,F
AKAN,TR,M
AKCAY,TR,M
AKGUL,TR,F
AKIF,TR,M
AKIFE,TR,F
AKIL,TR,M
AKN,TR,M
AKSEL,TR,M
ALAADDIN,TR,M
ALAATTIN,TR,M
ALEM,TR,M
ALEV,TR,F
ALEYNA,TR,F
ALI,TR,M
ALICAN,TR,M
ALIHAN,TR,M
ALIM,TR,M
ALIME,TR,F
ALIYE,TR,F
ALKAN,TR,M
ALP,TR,M
ALPARSLAN,TR,M
ALPASLAN,TR,M
ALPAY,TR,M
ALPCAN,TR,M
ALPER,TR,M
ALPEREN,TR,M
ALPTEKIN,TR,M
ALPTUG,TR,M
ALSAN,TR,M
ALTAN,TR,M
ALTAY,TR,M
ALTUG,TR,M
ALTUN,TR,M
ANIS,TR,M
ANL,TR,M
ANSA,TR,F
ARAL,TR,M
ARAS,TR,M
ARDA,TR,M
ARIF,TR,M
ARIFE,TR,F
ARIKAN,TR,M
ARISE,TR,F
ARKIN,TR,M
ARMAGAN,TR,M
ARMAN,TR,M
ARSLAN,TR,M
ARTAN,TR,M
ARTIN,TR,M
ARZI,TR,M
ARZU,TR,F
ASAF,TR,M
ASENA,TR,F
ASIL,TR,M
ASIME,TR,F
ASIYE,TR,F
ASKER,TR,M
ASKN,TR,M
ASL,TR,F
ASLAN,TR,M
ASLHAN,TR,F
ASM,TR,M
ASUMAN,TR,F
ASYA,TR,F
ATA,TR,M
ATACAN,TR,M
ATAGUN,TR,M
ATAHAN,TR,M
ATAKAN,TR,M
ATAKHAN,TR,M
ATALAY,TR,M
ATAMAN,TR,M
ATANUR,TR,M
ATAY,TR,M
ATES,TR,M
ATIF,TR,M
ATILA,TR,M
ATILLA,TR,M
ATIYE,TR,F
ATNC,TR,M
AVNI,TR,M
AYBARS,TR,M
AYBEK,TR,F
AYBERK,TR,M
AYBIKE,TR,F
AYBUKE,TR,F
AYCA,TR,F
AYCAN,TR,F
AYCIN,TR,F
AYDA,TR,F
AYDAN,TR,F
AYDN,TR,M
AYDOGAN,TR,M
AYFER,TR,F
AYGUL,TR,F
AYGUN,TR,F
AYHAN,TR,M
AYISE,TR,F
AYKAN,TR,M
AYKUT,TR,M
AYLA,TR,F
AYLIN,TR,F
AYNUR,TR,F
AYSAN,TR,F
AYSE,TR,F
AYSEGUL,TR,F
AYSEL,TR,F
AYSELI,TR,F
AYSEN,TR,F
AYSENI,TR,F
AYSENUR,TR,F
AYSER,TR,F
AYSIN,TR,F
AYSU,TR,F
AYSUN,TR,F
AYTAC,TR,?
AYTEKIN,TR,M
AYTEN,TR,F
AYTUL,TR,F
AYTUN,TR,M
AYTUNC,TR,M
AZAM,TR,M
AZAT,TR,M
AZER,TR,M
AZIM,TR,M
AZIME,TR,F
AZIZ,TR,M
AZIZE,TR,F
AZMI,TR,M
AZRA,TR,F
BABUR,TR,M
BAGDAGUL,TR,F
BAHA,TR,M
BAHADDIN,TR,M
BAHADR,TR,M
BAHAR,TR,F
BAHATTIN,TR,M
BAHRAM,TR,M
BAHRI,TR,M
BAHRIYE,TR,F
BAHTIYAR,TR,M
BAKI,TR,M
BALA,TR,M
BALER,TR,M
BANU,TR,F
BARAN,TR,M
BARBAROS,TR,M
